cellLine	Treatment	Replicate	Time	Confluency
PC3-F4	RPMI	1	11	1.109276459
PC3-F4	RPMI	1	12	1.109276459
PC3-F4	RPMI	1	13	1.147402821
PC3-F4	RPMI	1	14	1.16494668
PC3-F4	RPMI	1	15	1.16494668
PC3-F4	RPMI	1	16	1.203073042
PC3-F4	RPMI	1	17	1.184554524
PC3-F4	RPMI	1	18	1.258743263
PC3-F4	RPMI	1	19	1.220616902
PC3-F4	RPMI	1	20	1.276287123
PC3-F4	RPMI	1	21	1.294805642
PC3-F4	RPMI	1	22	1.314413485
PC3-F4	RPMI	1	23	1.314413485
PC3-F4	RPMI	1	24	1.350475863
PC3-F4	RPMI	1	25	1.370083706
PC3-F4	RPMI	1	26	1.370083706
PC3-F4	RPMI	1	27	1.406146084
PC3-F4	RPMI	1	28	1.425753927
PC3-F4	RPMI	1	29	1.443297787
PC3-F4	RPMI	1	30	1.461816305
PC3-F4	RPMI	1	31	1.517486527
PC3-F4	RPMI	1	32	1.517486527
PC3-F4	RPMI	1	33	1.555612888
PC3-F4	RPMI	1	34	1.573156748
PC3-F4	RPMI	1	35	1.590700608
PC3-F4	RPMI	1	36	1.628826969
PC3-F4	RPMI	1	37	1.665978672
PC3-F4	RPMI	1	38	1.684497191
PC3-F4	RPMI	1	39	1.684497191
PC3-F4	RPMI	1	40	1.740167412
PC3-F4	RPMI	1	41	1.721648893
PC3-F4	RPMI	1	42	1.777319115
PC3-F4	RPMI	1	43	1.777319115
PC3-F4	RPMI	1	44	1.851507855
PC3-F4	RPMI	1	45	1.850533196
PC3-F4	RPMI	1	46	1.907178076
PC3-F4	RPMI	1	47	1.92581126
PC3-F4	RPMI	2	0	1
PC3-F4	RPMI	2	1	1.040740741
PC3-F4	RPMI	2	2	1.040740741
PC3-F4	RPMI	2	3	1.096296296
PC3-F4	RPMI	2	4	1.096296296
PC3-F4	RPMI	2	5	1.096296296
PC3-F4	RPMI	2	6	1.114814815
PC3-F4	RPMI	2	7	1.114814815
PC3-F4	RPMI	2	8	1.092592593
PC3-F4	RPMI	2	9	1.092592593
PC3-F4	RPMI	2	10	1.114814815
PC3-F4	RPMI	2	11	1.114814815
PC3-F4	RPMI	2	12	1.114814815
PC3-F4	RPMI	2	13	1.137037037
PC3-F4	RPMI	2	14	1.148148148
PC3-F4	RPMI	2	15	1.188888889
PC3-F4	RPMI	2	16	1.188888889
PC3-F4	RPMI	2	17	1.188888889
PC3-F4	RPMI	2	18	1.188888889
PC3-F4	RPMI	2	19	1.188888889
PC3-F4	RPMI	2	20	1.262962963
PC3-F4	RPMI	2	21	1.262962963
PC3-F4	RPMI	2	22	1.262962963
PC3-F4	RPMI	2	23	1.285185185
PC3-F4	RPMI	2	24	1.285185185
PC3-F4	RPMI	2	25	1.285185185
PC3-F4	RPMI	2	26	1.340740741
PC3-F4	RPMI	2	27	1.337037037
PC3-F4	RPMI	2	28	1.337037037
PC3-F4	RPMI	2	29	1.392592593
PC3-F4	RPMI	2	30	1.433333333
PC3-F4	RPMI	2	31	1.411111111
PC3-F4	RPMI	2	32	1.433333333
PC3-F4	RPMI	2	33	1.485185185
PC3-F4	RPMI	2	34	1.507407407
PC3-F4	RPMI	2	35	1.507407407
PC3-F4	RPMI	2	36	1.507407407
PC3-F4	RPMI	2	37	1.559259259
PC3-F4	RPMI	2	38	1.548148148
PC3-F4	RPMI	2	39	1.577777778
PC3-F4	RPMI	2	40	1.6
PC3-F4	RPMI	2	41	1.6
PC3-F4	RPMI	2	42	1.622222222
PC3-F4	RPMI	2	43	1.655555556
PC3-F4	RPMI	2	44	1.674074074
PC3-F4	RPMI	2	45	1.674074074
PC3-F4	RPMI	2	46	1.72962963
PC3-F4	RPMI	2	47	1.748148148
PC3-F4	RPMI	3	0	1
PC3-F4	RPMI	3	1	1.003703704
PC3-F4	RPMI	3	2	1.022222222
PC3-F4	RPMI	3	3	1.02037037
PC3-F4	RPMI	3	4	1.022222222
PC3-F4	RPMI	3	5	1.003703704
PC3-F4	RPMI	3	6	1.042592593
PC3-F4	RPMI	3	7	1.038888889
PC3-F4	RPMI	3	8	1.038888889
PC3-F4	RPMI	3	9	1.061111111
PC3-F4	RPMI	3	10	1.055555556
PC3-F4	RPMI	3	11	1.042592593
PC3-F4	RPMI	3	12	1.055555556
PC3-F4	RPMI	3	13	1.059259259
PC3-F4	RPMI	3	14	1.077777778
PC3-F4	RPMI	3	15	1.1
PC3-F4	RPMI	3	16	1.116666667
PC3-F4	RPMI	3	17	1.135185185
PC3-F4	RPMI	3	18	1.135185185
PC3-F4	RPMI	3	19	1.174074074
PC3-F4	RPMI	3	20	1.17037037
PC3-F4	RPMI	3	21	1.157407407
PC3-F4	RPMI	3	22	1.196296296
PC3-F4	RPMI	3	23	1.214814815
PC3-F4	RPMI	3	24	1.231481481
PC3-F4	RPMI	3	25	1.25
PC3-F4	RPMI	3	26	1.288888889
PC3-F4	RPMI	3	27	1.288888889
PC3-F4	RPMI	3	28	1.305555556
PC3-F4	RPMI	3	29	1.311111111
PC3-F4	RPMI	3	30	1.346296296
PC3-F4	RPMI	3	31	1.346296296
PC3-F4	RPMI	3	32	1.403703704
PC3-F4	RPMI	3	33	1.403703704
PC3-F4	RPMI	3	34	1.403703704
PC3-F4	RPMI	3	35	1.459259259
PC3-F4	RPMI	3	36	1.477777778
PC3-F4	RPMI	3	37	1.5
PC3-F4	RPMI	3	38	1.481481481
PC3-F4	RPMI	3	39	1.516666667
PC3-F4	RPMI	3	40	1.557407407
PC3-F4	RPMI	3	41	1.574074074
PC3-F4	RPMI	3	42	1.614814815
PC3-F4	RPMI	3	43	1.612962963
PC3-F4	RPMI	3	44	1.631481481
PC3-F4	RPMI	3	45	1.711111111
PC3-F4	RPMI	3	46	1.711111111
PC3-F4	RPMI	3	47	1.711111111
